American アメリカ人
invitation 招待
issue ～を発行する
judge ～を判断する
juice ジュース
lacking 欠けている
lamp 電灯
lift ～を持ち上げる
limited 限られた
lion ライオン
literature 文字
loading 荷積み
loud 大声の
luck 幸運
lucky 運のよい
mad 熱中して
magic 魔法の
male 男性の
marrige 結婚
married 結婚している
match 試合
mathematics 数学
media (the～)マスメディア
merchant 貿易商
meter メートル
midnight (深夜の)12時
mirror 鏡
mix 混ぜる
model 模型の
monkey サル
museum 博物館
musical 音楽の
neighbor 近所の人
nineteen 19
nineteenth 19番目の
ninety 90
ninth 9番目の
nobody 誰も～ない
normal 通常の
northern 北の
nurse 看護師
nursing 看護の
officer 士官
operation 運転
opportunity 機会
opposite 反対の
orange オレンジ
ordinary 普通の
organization 団体
original 元の
ought すべきである
ourselves 私たち自身
pack 荷造りする
painter 画家
pardon 許し
particularly 特に
parther 仲間
passenger 乗客
path 小道
pattern パターン
per ～あたり
percent パーセント
perfect 完全な
performance 公演
pet ペットの
photograph 写真
pilot パイロット
pink ピンク
plastic プラスチックの
plate 板
pleasant 愉快な
polite 礼儀正しい
politics 政治(学)
pool プール
positive 自信のある
possibly もしかしたら
potato ジャガイモ
poweful 権力のある
pray 祈る
prefer ～を好む
preferred 望ましい
press ～を押す
pressed 差し迫った
prevent ～を防ぐ
previous 以前の
print 印刷
prize 賞(品)
professional プロ
progress 前進
project 企画
proper 適切な
property 特質
publishing 出版
push がんばらせる
quality 質
railroad 鉄道
railway 鉄道(英)
range 範囲
reduced 減じた
refer 言及する
regular 定期的な
relation 関係
relationship 関係
religion 宗教
removed 離れて
repair ～を修理する
repeat ～を繰り返す
research 研究
resepect 点
review 再考
rice 米
rich 豊かな
role 役割
roof 屋根
scientific 科学的な
search ～を捜す
secretary 秘書
section 区画
securities 株式
security 安全(性)
sentence ～に判決を宣告する
separate ～を引き離す
series 連続
set 調整する
settled 人の住んでいる
seventeen 17
seventeenth 17番目の
seventh 7番目の
sex 性
sheep ヒツジ
shower にわか雨
singer 歌手
sink 沈む
sir (男性に対して)お客様
site 場所
sixteenth 16番目の
smoke タバコを吸う
somewhere どこかに
soul 魂
soup スープ
southern 南の
speaker 話す人
spell つづる
staff 杖
stage ステージ
stamp 切手
steal 盗む
stomach 胃
storm 嵐
successful 成功した
supper 夕食
tape テープ
technology 科学技術
temperature 温度
tend ～の傾向がある
tenth 10番目の
terrible 猛烈な
text 本文
theater 劇場
theirs 彼らのもの
therefore それゆえに
thirteenth 13番目の
tie ネクタイ
tired ～にうんざりしている
title 題名
total 合計
tour 見学
tourist 観光客
traditional 伝統的な
traffic 交通
trust ～を信頼する
twelfth 12番目の
twentieth 20番目の
unable ～できない
unfortunately 不幸にも
unhappy 不幸せな
unless ～できない限り
upstairs 上の階
vacation 休暇
variety 変化
vegetable 野菜
video ビデオ
visitor 訪問者
wake 航跡
wandering 放浪する
weight 重さ
whatever Aするものは何でも
wheel 車輪
wine ワイン
wooden 木製の
worker 従業員
worth ～の価値がある
yeah はい
